tag number,tag color,experiment,Log ID,deployment_dive,site,deployement date,latitude,longitude,depth,deployment row,deployment column,wood type,length,max diameter,min diameter,wood mass initial_kg,notes,collection_date,collection_set,collection_dive,weight_mass_final_kg
1,Orange,aor,L-O-1,GE5,WF4,5/30/17,28.81305806,87.8153222,1970,3,1,Pinus echinata,20.3,7.8,7.8,0.57,small,,not found,,
2,Orange,aor,L-O-2,GE5,WF4,5/30/17,28.81305806,87.8153222,1970,7,1,Pinus echinata,19.9,8,7.5,0.47,small,,not found,,
3,Orange,aor,L-O-3,GE5,WF4,5/30/17,28.81305806,87.8153222,1970,4,1,Pinus echinata,20.2,8,7.6,0.51,small,,not found,,
4,Orange,aor,L-O-4,GE5,WF4,5/30/17,28.81305806,87.8153222,1970,5,1,Pinus echinata,19.7,8.8,8.6,0.5,small,,not found,,
5,Orange,aor,L-O-5,GE5,WF4,5/30/17,28.81305806,87.8153222,1970,6,1,Pinus echinata,20.6,8.7,8.1,0.48,small,,not found,,
6,Orange,aor,L-O-6,GE5,WF4,5/30/17,28.81305806,87.8153222,1970,9,1,Pinus echinata,20,8.2,7.9,0.57,small,,not found,,
7,Orange,aor,L-O-7,GE5,WF4,5/30/17,28.81305806,87.8153222,1970,12,1,Pinus echinata,19.9,7.9,7.7,0.45,small,,not found,,
8,Orange,aor,L-O-8,GE5,WF4,5/30/17,28.81305806,87.8153222,1970,2,1,Pinus echinata,20.1,8.1,7.9,0.52,small,,not found,,
9,Orange,aor,L-O-9,GE5,WF4,5/30/17,28.81305806,87.8153222,1970,10,1,Pinus echinata,19.9,8.4,8.1,0.4,small,,not found,,
10,Orange,aor,L-O-10,GE5,WF4,5/30/17,28.81305806,87.8153222,1970,8,1,Pinus echinata,20,7.9,7.7,0.44,small,,not found,,
11,Orange,aor,L-O-11,GE5,WF4,5/30/17,28.81305806,87.8153222,1970,1,1,Pinus echinata,20.2,7.4,7.4,0.43,small,,not found,,
12,Orange,aor,L-O-12,GE5,WF4,5/30/17,28.81305806,87.8153222,1970,11,1,Pinus echinata,20.1,8.2,7.8,0.37,small,,not found,,
13,Orange,aor,L-O-13,GE5,WF4,5/30/17,28.81305806,87.8153222,1970,3,2,Pinus echinata,20.4,13.4,13.2,1.36,large,,not found,,
14,Orange,aor,L-O-14,GE5,WF4,5/30/17,28.81305806,87.8153222,1970,5,2,Pinus echinata,20.5,13.8,12.7,1.05,large,,not found,,
15,Orange,aor,L-O-15,GE5,WF4,5/30/17,28.81305806,87.8153222,1970,12,2,Pinus echinata,21.9,14.1,13.7,1.6,large,,not found,,
16,Orange,aor,L-O-16,GE5,WF4,5/30/17,28.81305806,87.8153222,1970,7,2,Pinus echinata,21,13.4,13.1,1.32,large,,not found,,
17,Orange,aor,L-O-17,GE5,WF4,5/30/17,28.81305806,87.8153222,1970,10,2,Pinus echinata,20.2,14.2,13.8,1.23,large,,not found,,
18,Orange,aor,L-O-18,GE5,WF4,5/30/17,28.81305806,87.8153222,1970,4,2,Pinus echinata,20,14.4,13.9,1.27,large,,not found,,
19,Orange,aor,L-O-19,GE5,WF4,5/30/17,28.81305806,87.8153222,1970,8,2,Pinus echinata,21,11.5,11.4,0.91,large,,not found,,
20,Orange,aor,L-O-20,GE5,WF4,5/30/17,28.81305806,87.8153222,1970,6,2,Pinus echinata,20.5,13.7,13.6,1.32,large,,not found,,
21,Orange,aor,L-O-21,GE5,WF4,5/30/17,28.81305806,87.8153222,1970,11,2,Pinus echinata,20.5,12.4,11.2,0.89,large,,not found,,
22,Orange,aor,L-O-22,GE5,WF4,5/30/17,28.81305806,87.8153222,1970,1,2,Pinus echinata,19.6,13.2,12.1,1.19,large,,not found,,
23,Orange,aor,L-O-23,GE5,WF4,5/30/17,28.81305806,87.8153222,1970,2,2,Pinus echinata,20.5,13.8,13.8,1.18,large,,not found,,
24,Orange,aor,L-O-24,GE5,WF4,5/30/17,28.81305806,87.8153222,1970,9,2,Pinus echinata,20.1,13.1,11.6,1.13,large,,not found,,
37,White,Clump,L-W-37,NA,WF5,6/3/17,26.935,88.304,2046,NA,NA,Celtis laevigata,48.5,9.4,8.8,1.6,,,not collected,,
38,White,Clump,L-W-38,NA,WF5,6/3/17,26.935,88.304,2046,NA,NA,Celtis laevigata,43.4,9.5,9.2,1.83,,,not collected,,
39,White,Clump,L-W-39,NA,WF5,6/3/17,26.935,88.304,2046,NA,NA,Celtis laevigata,46.5,12.4,11.1,2.27,,,not collected,,
40,White,Clump,L-W-40,NA,WF5,6/3/17,26.935,88.304,2046,NA,NA,Celtis laevigata,44.2,11.7,11.4,2.64,,,not collected,,
41,White,Clump,L-W-41,NA,WF5,6/3/17,26.935,88.304,2046,NA,NA,Celtis laevigata,42.1,16.4,15.5,3.35,,,not collected,,
42,White,Clump,L-W-42,NA,WF5,6/3/17,26.935,88.304,2046,NA,NA,Celtis laevigata,33.9,19.3,15.3,3.99,,,not collected,,
43,White,Clump,L-W-43,NA,WF5,6/3/17,26.935,88.304,2046,NA,NA,Celtis laevigata,38.9,17.7,17.6,5.07,,,not collected,,
44,White,Clump,L-W-44,NA,WF5,6/3/17,26.935,88.304,2046,NA,NA,Celtis laevigata,44.2,19.2,16.3,5.09,,,not collected,,
45,White,Clump,L-W-45,NA,WF5,6/3/17,26.935,88.304,2046,NA,NA,Celtis laevigata,42.7,18.8,17.7,6.75,,,not collected,,
46,White,Clump,L-W-46,NA,WF5,6/3/17,26.935,88.304,2046,NA,NA,Celtis laevigata,43.7,23.1,21.8,8.01,,,not collected,,
47,White,Clump,L-W-47,NA,WF5,6/3/17,26.935,88.304,2046,NA,NA,Celtis laevigata,43.9,22.8,22.3,9.73,,,not collected,,
48,White,Clump,L-W-48,NA,WF5,6/3/17,26.935,88.304,2046,NA,NA,Celtis laevigata,41.1,26.4,26.2,11.24,,,not collected,,
