ID,Group,Synonymies,Phylum,Class,Order,Family,Genus,species,Confirmed,Notes,Trophic_Role,Feeding_Mode,Feeding_Group,Feeding_Specificity,Evidence_for_trophic_role,Rouse_genetic_id
xylo-1,Xylophaga,"xylo-4, xylo-8",Mollusca,Bivalvia,Myida,Xylophagaidae ,Xyloredo,sp. 1,Yes,,wood-obligate,,wood-obligate,wood,Turner 1973; Voight 2015,
xylo-2,Xylophaga,,Mollusca,Bivalvia,Myida,Xylophagaidae ,Abidtoconus,cf. brava,Yes,,wood-POM-mixotroph,,mixotrophic,,Turner 1973; Voight 2015; Voight 2020,
xylo-3,Xylophaga,,Mollusca,Bivalvia,Myida,Xylophagaidae ,Spiniapex,gilsonorum,Yes,,wood-obligate,,wood-obligate,wood,Turner 1973; Voight 2015,
xylo-5,Xylophaga,Xylo-6,Mollusca,Bivalvia,Myida,Xylophagaidae ,Xylopholas,sp. 5,Yes,,wood-obligate,,wood-obligate,wood,Turner 1973; Voight 2015,
xylo-7,Xylophaga,,Mollusca,Bivalvia,Myida,Teredinidae,Bankia ,sp. 7,Yes,,wood-obligate,,wood-obligate,wood,Turner 1973; Voight 2015,
xylo-9,Xylophaga,,Mollusca,Bivalvia,Myida,Xylophagaidae ,Xylophaga,sp. 9,Yes,,wood-obligate,,wood-obligate,wood,Turner 1973; Voight 2015,
xylo-10,Xylophaga,,Mollusca,Bivalvia,Myida,Xylophagaidae ,Xylonora,sp. 10,Yes,,wood-obligate,,wood-obligate,wood,Turner 1973; Voight 2015,
xylo-11,Xylophaga,,Mollusca,Bivalvia,Myida,Xylophagaidae ,Xylophaga,sp. 11,Yes,,wood-obligate,,wood-obligate,wood,Turner 1973; Voight 2015,
xylo-12,Xylophaga,,Mollusca,Bivalvia,Myida,Xylophagaidae ,Xylophaga,sp. 12,Yes,,wood-obligate,,wood-obligate,wood,Turner 1973; Voight 2015,
xylo-13,Xylophaga,,Mollusca,Bivalvia,Myida,Xylophagaidae ,Xylophaga,sp. 13,Yes,,wood-obligate,,wood-obligate,wood,Turner 1973; Voight 2015,
xylo-15,Xylophaga,,Mollusca,Bivalvia,Myida,Xylophagaidae ,Xylonora,sp. 1 AC78,Yes,,wood-obligate,,wood-obligate,wood,Turner 1973; Voight 2015,
xylo-16,Xylophaga,,Mollusca,Bivalvia,Myida,Xylophagaidae ,Xylophaga,spp.,Yes,,wood-obligate,,wood-obligate,wood,Turner 1973; Voight 2015,
xylo-17,Xylophaga,,Mollusca,Bivalvia,Myida,Xylophagaidae ,,sp. 17,,Xylophaga c.f. dorsalis,wood-obligate,,wood-obligate,wood,Turner 1973; Voight 2015,
xylo-18,Xylophaga,,Mollusca,Bivalvia,Myida,Xylophagaidae ,,sp. 18,,,wood-obligate,,wood-obligate,wood,Turner 1973; Voight 2015,
xylo-19,Xylophaga,,Mollusca,Bivalvia,Myida,Xylophagaidae ,,,,,wood-obligate,,wood-obligate,wood,Turner 1973; Voight 2015,
gas-1,Gastropod,,Mollusca,Gastropoda,Trochida,Liotiidae,Cyclostrema,pompholyx,Yes,species yellow,deposit-feeder,,,,Rex 1976,
gas-2,Gastropod,"gas-5, gas-11, gas-12",Mollusca,Gastropoda,Neogastropoda,Raphitomidae,Lusitanops ,cf. cingulatus,Yes,species ribbed,predator,,,,Souza 2018 (dissertation),
gas-3,Gastropod,,Mollusca,Gastropoda,Caenogastropoda,Provannidae,Cordesia ,atlantica,Yes,species waffle,bacterial-mat-grazer,grazer,bacteriovore,,Souza 2021; Waren & Bouchet 2009,
gas-4,Gastropod,,Mollusca,Gastropoda,Trochida,Skeneidae,Dillwynella ,voightae,Yes,species pearl,bacterial-mat-grazer,grazer,bacteriovore,,Marshall 1988,
gas-6,Gastropod,,Mollusca,Gastropoda,Neogastropoda,Columbellidae,,,,,predator,,,,deMaintenon and Strong 2022,
gas-7,Gastropod,,Mollusca,Gastropoda,Seguenziida,Seguenzioidea,Moelleriopsis ,sp. 7,Yes,,,,,,,
gas-8,Gastropod,,Mollusca,Gastropoda,Neogastropoda,Columbellidae,Astyris,,Yes,potentially in genus Astyris but unconfirmed ,predator ,,,,deMaintenon and Strong 2022,
gas-9,Gastropod,,Mollusca,Gastropoda,Neogastropoda,Muricidae,Pagodula ,aculeata,Yes,,predator,,,,Houart and Sellanes 2006; Marshall and Houart 2011,
gas-10,Gastropod,,Mollusca,Gastropoda,Caenogastropoda,Nystiellidae,Eccliseogyra,cf. maracatu,Yes,,cindarian-predator,predator,carnivore,cnidarians,Lima and Christoffersen 2013,
gas-13,Gastropod,,Mollusca,Gastropoda,Littorinimorpha,Eulimidae,Pelseneeria,,,,parasitic,parasitic,parasitic,echinoderms,Waren 1983; Pastorino and Zelaya 2001,
gas-14,Gastropod,,Mollusca,Gastropoda,Neogastropoda,Muricidae,Trophon,cf. muricatus,,,predator,,,,Houart and Sellanes 2006; Marshall and Houart 2011,
limp-1,Gastropod,limp-2,Mollusca,Gastropoda,Lepetellida,Pseudococculinidae ,Amphiplica ,plutonica,Yes,ringed,wood-obligate,grazer,wood-obligate,wood,Leal and Harasewych 1999,
limp-3,Gastropod,,Mollusca,Gastropoda,Lepetellida,Pseudococculinidae ,Amphiplica ,cf. venezuelensis ,Yes,,wood-obligate,grazer,wood-obligate,wood,Leal and Harasewych 1999,
limp-4,Gastropod,,Mollusca,Gastropoda,Cocculinida,Cocculinidae,Cocculina ,fenestrata,Yes,,wood-obligate,grazer,wood-obligate,wood,Ardila and Harasewych 2005,
limp-5,Gastropod,,Mollusca,Gastropoda,,,,,,,,,,,,
limp-6,Gastropod,,Mollusca,Gastropoda,Lepetellida,Pseudococculinidae ,Copulabyssia ,leptalea,Yes,,wood-obligate,grazer,wood-obligate,wood,Ardila and Harasewych 2005,
limp-7,Gastropod,,Mollusca,Gastropoda,,,,,,,,,,,,
biv-1,Bivalve,,Mollusca,Bivalvia,,,,,,,suspension-feeder,,,,"occur only on exterior of logs, assuming not deposit feeders",
biv-2,Bivalve,,Mollusca,Bivalvia,,,,,,,suspension-feeder,,,,"occur only on exterior of logs, assuming not deposit feeders",
biv-3,Bivalve,,Mollusca,Bivalvia,,,,,,,suspension-feeder,,,,"occur only on exterior of logs, assuming not deposit feeders",
biv-4,Bivalve,,Mollusca,Bivalvia,,,,,,,suspension-feeder,,,,"occur only on exterior of logs, assuming not deposit feeders",
biv-5,Bivalve,,Mollusca,Bivalvia,,,,,,,,,,,,
idas-1,Bivalve,idas-2,Mollusca,Bivalvia,Mytilida,Mytillidae,Idas,,Yes,spiked,chemosynthetic,,,,Southward 2008,
idas-3,Bivalve,,Mollusca,Bivalvia,Mytilida,Mytillidae,Idas,,Yes,,chemosynthetic,,,,Southward 2009,
idas-4,Bivalve,,Mollusca,Bivalvia,Mytilida,Mytillidae,Idas,,Yes,,chemosynthetic,,,,Southward 2010,
idas.L,Bivalve,,Mollusca,Bivalvia,Mytilida,Mytillidae,Idas,,no,thick,chemosynthetic,,,,Southward 2011,
polyplac-1,Mollusc,,Mollusca,Polyplacophora,Lepidopleurida,Leptochitonidae,,,,,wood-obligate,,wood-obligate,wood,Sirenko 2004,
aplac-1,Mollusc,aplac-2,Mollusca,Solenogastres,,Pruvotinidae,,sp. 1,Yes,,predator,,,,Zamarro et al 2013; Brusca et al (invert textbook),
aplac-3,Mollusc,,Mollusca,Solenogastres,,Pruvotinidae,,sp. 3,Yes,,predator,,,,Zamarro et al 2013; Brusca et al (invert textbook),
schaph-1,Mollusc,,Mollusca,Scaphopoda,,,,,,,deposit-feeder,,,,Brusca et al (invert textbook),
poly-H,Polychaeta,"poly-8, poly-35, poly-81, poly-12, poly-60=poly-35, poly-9=poly-8",Annelida,Polychaeta,Phyllodocida ,Hesionidae,,,,"includes at least Sirsoe maximiano, Vrijenhokeia sp.",bacteriovore,,,,GR personal comm.,
poly-2,Polychaeta,,Annelida,Polychaeta,Phyllodocida ,Nereididae,,sp. 2,,"""Arrow""; likely Neanthes sp.",bacteriovore,,,,GR personal comm.,
poly-5,Polychaeta,"poly-65, poly-70,  poly-84, poly-88, poly-89, poly-30, poly-22",Annelida,Polychaeta,Phyllodocida ,Chrysopetalidae,Strepternos,didymopyton,Yes,"""Golden""",xylo-predator,,,,Watson Russell 1991; Rouse et al 2022; Jumars et al 2015; Turner 1978; observation on our logs,"poly6531, A13775, A13776, A13777, A13778, A13779, A13780"
poly-6,Polychaeta,poly-28,Annelida,Polychaeta,Phyllodocida ,Nereididae,Nereis/Neanthes,sp. nov. 1 and sp. nov. 2 ,Yes,,bacteriovore,,,,GR personal comm.; dissected gut,"A13781
A13782
A13783
A13784
A13785"
poly-7,Polychaeta,,Annelida,Polychaeta,Phyllodocida ,Hesionidae,Leocretes,,,"""Big Mouth""",predator,,,,GR personal comm.,
poly-10,Polychaeta,"poly-37, poly-59, poly-3, poly-1, poly-45, poly-67",Annelida,Polychaeta,Capitellida,Capitellidae,Capitella ,spp.,Yes,"""Big Beefy""",deposit-feeder,,,,Fauchald & Jumars 1979; Rouse et al 2022; Jumars et al 2015,
poly-11,Polychaeta,"poly-61, poly-87, includes some poly-66",Annelida,Polychaeta,Phyllodocida ,Phyllodocidae,,,,"""Circular saw mouth""",predator,,,,Fauchald & Jumars 1979; Rouse et al 2022; Jumars et al 2015,
poly-14,Polychaeta,poly-38,Annelida,Polychaeta,Phyllodocida ,Glyceridae,,,,"""Star Nose""",predator,,,,Fauchald & Jumars 1979; Rouse et al 2022; Jumars et al 2015,
poly-15,Polychaeta,"Poly 109, Poly 110",Annelida,Polychaeta,Terebellida,Maldanidae,Niomache,sp. nov. ,Yes,,deposit-feeder,,,,Fauchald & Jumars 1979; Rouse et al 2022; Jumars et al 2015,
poly-16,Polychaeta,"poly-27, poly-75, poly-46",Annelida,Polychaeta,Spionida ,Spionidae ,Prionospio ,sp. nov. ,Yes,confirmed by greg,deposit feeding bacteriovore,,,,GR personal comm.,
poly-20,Polychaeta,"Poly-34, Poly-50, Poly-52, poly-19, poly-86",Annelida,Polychaeta,Terebellida,Ampharetidae ,,spp.,,,deposit-feeder,,,,Fauchald & Jumars 1979; Rouse et al 2022; Jumars et al 2015,
poly-24,Polychaeta,poly-58,Annelida,Polychaeta,Phyllodocida ,Polynoidae ,Leucia ,sp. cf. violacea,Yes,,bacterial-mat-grazer or predator,,,,Jumars et al 2015; GR personal comm.,
poly-25,Polychaeta,"poly-53, poly-56, includes some poly-66",Annelida,Polychaeta,Phyllodocida ,Phyllodocidae,Sige,sp.,Yes,,predator,,,,Fauchald & Jumars 1979; Rouse et al 2022; Jumars et al 2015,poly5613
poly-26,Polychaeta,,Annelida,Polychaeta,Terebellida,Flabelligeridae,,,,"""Fuzzy Lollipop""",deposit-feeder,,,,GR personal comm.,
