Species ID,Woodfall,Tag Color,Site,Biomass (mg),Individuals
Xylo-1,34,G,WF1,2222.74,20
Xylo-1,25,W,WF1,624.87,20
Xylo-2,31,G,WF1,424.01,20
Xylo-3,13,W,WF1,216.8,20
Xylo-3,31,G,WF1,417.54,20
Xylo-1,34,G,WF1,2727.88,20
Xylo-1,21,W,WF1,1395.88,20
Xylo-10,22,G,WF1,1107.01,20
Xylo-11,31,G,WF1,181.31,20
Xylo-11,34,W,WF1,90.43,20
Xylo-12,1,G,WF1,6.33,20
Xylo-12,31,G,WF1,554.15,20
Xylo-16,10,W,WF1,17.12,20
Xylo-1,34,G,WF1,354.7,3
Xylo-1,28,W,WF1,157.3,3
Xylo-2,31,G,WF1,107.3,3
Xylo-3,34,W,WF1,96,3
Xylo-3,16,G,WF1,145,3
Xylo-1,31,W,WF1,802.9,3
Xylo-1,21,G,WF1,661.8,3
Xylo-5,19,G,WF1,0.5,1
Xylo-5,34,G,WF1,2.4,1
Xylo-5,22,G,WF2,0.5,1
Xylo-7,31,G,WF1,0.4,1
Xylo-7,26,G,WF1,0.7,1
Xylo-10,16,G,WF1,190.9,3
Xylo-10,7,W,WF1,249.8,3
Xylo-11,31,G,WF1,92.4,3
Xylo-11,34,W,WF1,21.4,3
Xylo-12,13,G,WF1,32.7,1
Xylo-12,1,G,WF1,89,2
Xylo-12,34,W,WF1,4.8,1
Xyo-12,21,W,WF1,15.9,1
Xylo-12,4,W,WF1,0.6,1
Xylo-13,31,G,WF1,1656.3,2
Xylo-15,25,G,WF1,455,3
Xylo-16,10,W,WF1,10.4,3
Gas-1,16,G,WF1,14.63,1
Gas-2,16,G,WF1,36.89,1
Gas-3,19,W,WF1,42.14,1
Gas-3,7,W,WF1,439.94,14
Gas-4,11,Y,WF4,23.77,1
Gas-4,7,W,WF1,17.62,5
Gas-5,4,G,WF1,2.01,1
Gas-6,4,G,WF1,11.17,1
Gas-6,10,W,WF1,2.42,1
Gas-7,22,W,WF1,0.85,1
Gas-7,10,W,WF1,3.31,10
Gas-8,7,W,WF1,112.45,1
Gas-9,7,W,WF1,29.36,1
Gas-10,10,W,WF1,0.07,1
Gas-1,28,W,WF1,17.92,1
Gas-1,28,W,WF1,14.93,1
Brach-1,16,W,WF1,2.56,1
Aplac-1,19,W,WF1,0.15,1
Polyplac-1,41,Y,WF4,0.47,1
Idas-1,34,G,WF1,11,1
Idas-2,11,Y,WF4,0.7,1
Limp-1,34,G,WF1,15.49,1
Limp-2,29,Y,WF4,9.33,1
Limp-3,1,W,WF1,3.86,1
Limp-4,22,W,WF1,4.55,1
Biv-1,34,W,WF1,1.66,1
Biv-3,31,Y,WF4,4.49,1
Ophi-1,25,Y,WF4,27.25,1
Anem-1,34,G,WF1,11.7,1
Holo-2,13,G,WF1,6.99,1
Holo-3,29,Y,WF4,1202.53,1
Holo-4,19,W,WF4,0.01,1
Ast-1,43,Y,WF4,0.78,1
Ast-2,38,Y,WF4,38.51,1
Ast-1,34,Y,WF4,90.17,2
Nem-1,11,Y,WF4,0.12,1
Nem-1,27,Y,WF4,97.35,1
Platy-1,27,Y,WF4,22.32,1
Ech-1,29,Y,WF4,0.01,2
Sip-1,9,Y,WF4,6.64,1
Sip-2,1,W,WF1,1.21,1
Sip-3,16,G,WF1,0.21,1
Sip-4,34,W,WF1,0.35,1
Sip-6,7,G,WF1,2.5,1
Sip-7,25,Y,WF4,3.26,1
Gal-1,34,W,WF1,983.67,1
Gal-2,19,W,WF1,845.26,1
Gal-3,22,W,WF1,9.34,1
Deca-1,25,Y,WF4,17.53,1
Mys-1,31,Y,WF4,4.31,1
Cum-1,29,Y,WF4,0.26,1
Tan-1,19,W,WF1,0.05,1
Tan-2,43,Y,WF4,0.13,1
Tan-3,43,Y,WF4,0.16,1
Tan-4,27,Y,WF4,1.57,1
Iso-1,34,G,WF1,4.8,1
Iso-2,31,Y,WF4,0.1,1
Iso-3,31,Y,WF4,0.53,1
Iso-4,16,G,WF1,0.01,1
Iso-5,25,Y,WF4,0.11,1
Iso-6,43,Y,WF4,0.84,1
Iso-7,43,Y,WF4,0.01,1
Amph-1,16,G,WF1,45.24,1
Amph-2,10,G,WF1,4.65,1
Amph-3,27,Y,WF4,0.76,1
Amph-4,27,Y,WF4,0.91,1
Amph-2,31,G,WF1,4.21,1
Amph-2,13,G,WF1,2.47,1
Amph-7,34,G,WF1,0.07,1
Amph-2,34,G,WF1,3.44,1
Limp-1,31,G,WF1,54.62,3
Limp-2,16,W,WF1,132.46,3
Limp-3,10,W,WF1,25.4,1
Limp-4,7,W,WF1,16.87,3
Limp-6,1,g,WF1,0.03,1
Limp-6,21,G,WF1,0.08,2
Gas-1,22,W,WF1,62.54,2
Gas-2,31,W,WF1,296.53,3
Gas-3,16,G,WF1,135.2,3
Gas-4,16,W,WF1,41.69,3
Gas-5,4,W,WF1,4.65,3
Gas-6,10,G,WF1,2.39,3
Gas-7,4,W,WF1,0.6,1
Gas-8,16,W,WF1,32.36,3
Gas-9,4,W,WF1,74.1,2
Gas-9,16,W,WF1,5205,1
Gas-10,25,W,WF1,0.05,1
Ast-1,34,Y,WF4,159.45,1
Ophi-1,16,W,WF1,0.33,3
Ophi-2,19,G,WF1,2.15,2
Ophi-2,13,W,WF1,4.15,1
Aplac-1,25,G,WF1,3.14,3
Aplac-1,13,W,WF1,1.33,3
Aplac-1,22,G,WF1,1.56,3
Aplac-1,19,G,WF1,2.01,3
Aplac-1,26,G,WF1,2.1,3
Aplac-1,7,G,WF1,4.9,3
Aplac-1,16,G,WF1,3.06,3
Aplac-1,4,G,WF1,6.23,3
Aplac-1,16,G,WF1,2.56,3
Aplac-1,4,W,WF1,2.38,3
Polyplac-1,4,W,WF1,0.78,3
Polyplac-1,19,W,WF1,0.16,3
Polyplac-1,26,G,WF1,0.05,3
Polyplac-1,28,W,WF1,0.66,3
Polyplac-1,16,G,WF1,0.06,3
Polyplac-1,7,W,WF1,0.95,3
Polyplac-1,1,G,WF1,0.14,3
Polyplac-1,21,W,WF1,0.2,3
Polyplac-1,25,G,WF1,0.08,3
Sip-1,25,G,WF1,11.83,1
Sip-1,25,G,WF1,0.07,2
Sip-1,13,W,WF1,0.03,2
Sip-1,26,G,WF1,1.08,3
Sip-1,21,W,WF1,0.17,3
Tan-1,19,G,WF1,0.38,3
Tan-2,22,G,WF1,0.74,3
Gal-1,25,W,WF1,3264.42,2
Gal-1,25,W,WF1,68.83,1
Gal-1,16,W,WF1,161.91,3
Gal-1,25,G,WF1,12.75,2
Gal-1,34,G,WF1,16.71,2
Gal-1,16,W,WF1,34.48,1
Gal-1,1,G,WF1,15.4,2
Gal-1,7,G,WF1,11.37,2
Gal-1,31,G,WF1,34.37,1
Amph-1,25,G,WF1,250.32,3
Amph-2,1,G,WF1,11.31,3
Amph-5,16,W,WF1,13.06,3
Amph-6,10,G,WF1,11.27,3
Amph-7,34,G,WF1,0.69,2
Amph-7,13,G,WF1,0.6,1
Amph-8,34,G,WF1,2.38,3
Amph-9,13,W,WF1,35.26,3
Amph-5,22,G,WF1,396.12,341
Amph-5,16,W,WF1,238.99,128
Amph-1,13,W,WF1,1617.18,55
Amph-1,25,G,WF1,1446.29,68
Iso-1,34,G,WF1,9.48,3
Iso-3,19,G,WF1,2.43,3
Iso-3B,22,W,WF1,0.8,1
Iso-3B,19,G,WF1,2.73,2
Iso-4,25,G,WF1,0.01,3
Iso-5,4,W,WF1,0.13,1
Iso-5,16,G,WF1,0.01,1
Iso-8,25,G,WF1,1.79,4
Iso-9,21,W,WF1,1.04,1
Iso-9,22,G,WF1,1.33,1
Poly-1,13,G,WF1,6.11,1
Poly-2,16,G,WF1,2.47,1
Poly-3,16,G,WF1,2.28,1
Poly-4,10,G,WF1,39.2,1
Poly-5,16,G,WF1,27.9,1
Poly-6,4,G,WF1,55.18,1
Poly-7,7,G,WF1,104.38,1
Poly-8,4,G,WF1,2.74,1
Poly-9,4,G,WF1,4.98,1
Poly-10,7,G,WF1,5.58,1
Poly-11,9,O,WF4,12.67,1
Poly-12,16,G,WF1,7.09,1
Poly-14,27,O,WF1,1.49,1
Poly-15,41,O,WF4,0.38,1
Poly-16,34,W,WF1,0.02,1
Poly-18,41,O,WF4,0.03,1
Poly-19,25,O,WF4,0.01,1
Poly-20,19,W,WF1,1.56,1
Poly-22,11,O,WF4,0.01,1
Poly-24,34,G,WF1,1.74,1
Poly-25,22,W,WF1,0.23,1
Poly-26,29,O,WF4,0.09,1
Poly-30,19,W,WF1,0.41,1
